"id","period","age","city_ind","female_ind","fixedvoice_ind","fixeddata_ind","fixedtv_ind","mobilevoice_ind","mobiledata_ind","bbi_speed_ind","bbi_usg_gb","hh_single","event_web","buy"
100100100,202012,39,1,0,0,1,1,0,"NO",1,77,0,1,1
100100101,202012,57,0,0,0,1,0,1,"NO",1,49,0,1,0
100100102,202012,55,0,1,0,1,1,1,"MOBILE STICK",0,53,0,1,1
100100103,202012,66,0,0,0,1,1,0,"NO",1,44,0,1,0
100100104,202012,71,0,1,0,1,0,0,"BUSINESS",0,55,0,1,0
100100105,202012,44,1,0,0,1,1,1,"BUSINESS",1,93,0,1,1
100100106,202012,64,0,0,0,1,0,0,"MOBILE STICK",0,50,0,1,0
100100107,202012,51,1,0,0,1,1,1,"NO",1,64,1,1,0
100100108,202012,70,1,0,0,1,0,1,"BUSINESS",0,63,1,1,0
100100109,202012,44,1,1,0,1,1,1,"BUSINESS",1,87,1,1,1
100100110,202012,58,0,1,0,1,0,0,"NO",1,45,0,1,0
100100111,202012,47,0,0,0,1,1,1,"NO",1,45,0,1,1
100100112,202012,68,1,0,0,1,0,0,"NO",0,70,1,1,0
100100113,202012,71,1,0,1,1,0,1,"MOBILE STICK",0,79,0,1,0
100100114,202012,39,0,1,0,1,1,1,"BUSINESS",1,65,0,1,1
100100115,202012,65,1,0,0,1,1,1,"BUSINESS",0,87,0,1,0
100100116,202012,44,1,1,0,1,1,0,"MOBILE STICK",0,105,0,1,1
100100117,202012,48,1,0,0,1,0,0,"NO",1,86,1,1,1
100100118,202012,35,0,0,0,1,0,0,"MOBILE STICK",1,58,0,1,1
100100119,202012,57,1,0,0,1,0,0,"BUSINESS",1,83,0,1,0
100100120,202012,61,1,1,0,1,0,0,"NO",0,77,0,1,0
100100121,202012,57,0,1,0,1,0,1,"NO",1,71,1,1,0
100100122,202012,54,0,1,0,1,0,0,"NO",1,53,0,1,0
100100123,202012,57,0,1,0,1,0,1,"NO",0,48,0,1,0
